run_id,game_id,game_index,game_seed,checkpoint_index,checkpoint_ply,ply,turn_index,current_player_id,player_id,player_name,agent_name,seat_index,winner_id,winner_ids_json,label_is_winner,final_score,final_rank,final_scores_json,is_tie,frontier_size,corner_differential,center_proximity,opponent_adjacency,deadzone_count,deadzone_fraction,mobility_total_placements,mobility_total_orientation_normalized,mobility_total_cell_weighted,mobility_bucket_1,mobility_bucket_2,mobility_bucket_3,mobility_bucket_4,mobility_bucket_5,blocking_exposure_legal_moves_opp_sum,utility_frontier_plus_mobility,pieces_used_count,pieces_remaining_count,remaining_squares,remaining_size_1_count,remaining_size_2_count,remaining_size_3_count,remaining_size_4_count,remaining_size_5_count,remaining_key_piece_17,remaining_key_piece_19,remaining_key_piece_20,phase_ply,phase_turn_index,phase_board_occupancy,phase_piece_usage_ratio,phase_progress_turn_ratio,phase_progress_placement_ratio,player_board_occupancy,se_squares_placed,se_remaining_piece_area,se_accessible_corners,se_reachable_empty_squares,se_largest_remaining_piece_size,se_opponent_avg_mobility,se_center_proximity,se_territory_enclosure_area
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,0,8,8,8,1,1,RED,champion,0,1,[1],1,99,1,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,8.0,-7.0,9.0,0.0,1.0,0.0025,404.0,96.125,382.0,8.0,11.0,30.75,118.5,213.75,929.0,390.0,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.09,0.0952380952380952,0.0032,0.0032,0.025,0.1136363636363636,0.8863636363636364,0.2,1.0,1.0,0.125,0.2052631578947368,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,0,8,8,8,1,2,BLUE,pool_random,1,1,[1],0,57,4,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,2.0,-19.0,9.0,0.0,1.0,0.0025,134.0,30.375,132.125,0.0,3.0,9.0,37.0,83.125,1199.0,134.125,2.0,19.0,82.0,0.0,1.0,2.0,6.0,10.0,1.0,1.0,1.0,8.0,8.0,0.09,0.0952380952380952,0.0032,0.0032,0.015,0.0681818181818181,0.9318181818181818,0.05,1.0,1.0,0.175,0.1228070175438595,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,0,8,8,8,1,3,YELLOW,pool_heuristic,2,1,[1],0,76,3,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,6.0,-11.0,8.0,0.0,1.0,0.0025,351.0,89.625,362.0,6.0,10.0,28.5,112.5,205.0,982.0,368.0,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,1.0,8.0,8.0,0.09,0.0952380952380952,0.0032,0.0032,0.025,0.1136363636363636,0.8863636363636364,0.15,1.0,1.0,0.1416666666666666,0.2631578947368421,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,0,8,8,8,1,4,GREEN,pool_mcts_50ms,3,1,[1],0,84,2,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,7.0,-9.0,9.0,0.0,1.0,0.0025,444.0,103.25,415.125,7.0,12.0,33.75,130.5,231.875,889.0,422.125,2.0,19.0,78.0,1.0,1.0,2.0,6.0,9.0,1.0,1.0,0.0,8.0,8.0,0.09,0.0952380952380952,0.0032,0.0032,0.025,0.1136363636363636,0.8863636363636364,0.175,1.0,1.0,0.1333333333333333,0.2052631578947368,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,1,16,16,16,1,1,RED,champion,0,1,[1],1,99,1,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,16.0,-15.0,0.0,0.0,5.0,0.0125,760.0,189.125,737.25,15.0,24.0,69.0,265.5,363.75,1501.0,753.25,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.19,0.1904761904761904,0.0064,0.0064,0.05,0.2272727272727272,0.7727272727272727,0.4,1.0,1.0,0.2583333333333333,0.4684210526315789,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,1,16,16,16,1,2,BLUE,pool_random,1,1,[1],0,57,4,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,8.0,-31.0,6.0,0.0,5.0,0.0125,458.0,110.75,468.0,0.0,13.0,39.75,159.0,256.25,1803.0,476.0,4.0,17.0,72.0,0.0,1.0,2.0,6.0,8.0,1.0,1.0,1.0,16.0,16.0,0.19,0.1904761904761904,0.0064,0.0064,0.04,0.1818181818181818,0.8181818181818182,0.2,1.0,1.0,0.325,0.3289473684210526,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,1,16,16,16,1,3,YELLOW,pool_heuristic,2,1,[1],0,76,3,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,13.0,-21.0,1.0,0.0,5.0,0.0125,579.0,143.25,545.375,13.0,21.0,54.75,203.5,253.125,1682.0,558.375,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.19,0.1904761904761904,0.0064,0.0064,0.05,0.2272727272727272,0.7727272727272727,0.325,1.0,1.0,0.2833333333333333,0.5105263157894737,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,1,16,16,16,1,4,GREEN,pool_mcts_50ms,3,1,[1],0,84,2,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,10.0,-27.0,7.0,0.0,5.0,0.0125,464.0,109.25,413.875,10.0,17.0,42.0,155.5,189.375,1797.0,423.875,4.0,17.0,68.0,1.0,1.0,2.0,6.0,7.0,1.0,0.0,0.0,16.0,16.0,0.19,0.1904761904761904,0.0064,0.0064,0.05,0.2272727272727272,0.7727272727272727,0.25,1.0,1.0,0.3083333333333333,0.3131578947368421,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,2,24,24,24,1,1,RED,champion,0,1,[1],1,99,1,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,22.0,-22.0,0.0,4.0,6.0,0.015,634.0,173.0,639.375,19.0,28.0,77.25,224.5,290.625,1147.0,661.375,6.0,15.0,59.0,1.0,1.0,2.0,5.0,6.0,1.0,0.0,0.0,24.0,24.0,0.28,0.2857142857142857,0.0096,0.0096,0.0725,0.3295454545454545,0.6704545454545454,0.55,1.0,1.0,0.3666666666666666,0.5444646098003629,0.0
20260512_040322_889c7249,20260512_040322_889c7249_g0000,0,756341562,2,24,24,24,1,2,BLUE,pool_random,1,1,[1],0,57,4,"{""1"": 99, ""2"": 57, ""3"": 76, ""4"": 84}",False,11.0,-44.0,6.0,0.0,6.0,0.015,334.0,86.625,370.125,0.0,14.0,18.0,120.0,218.125,1447.0,381.125,6.0,15.0,65.0,0.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,24.0,24.0,0.28,0.2857142857142857,0.0096,0.0096,0.0575,0.2613636363636363,0.7386363636363636,0.275,1.0,1.0,0.4583333333333333,0.3455377574370709,0.0
